provider,role,offering_type,price_low,price_high,currency,unit,hours_included,source_url,capture_date,notes
Boardman,CTO,retainer,6000,6000,GBP,per_month,~4 days/month,https://www.boardman.com/fractional-cto-cost,2026-08-20,"Published verbatim as ""A typical Boardman engagement is £6,000 a month for around four days."" No long-term lock-in. Retainers include access to broader Boardman team. WebFetch-verified."
941 Consulting,CTO,retainer,699,699,GBP,per_month,,https://941consulting.com/en/fractional-cto-pricing/,2026-08-20,"Async Advisory tier. Published as ""£699/month"" for Slack-based advice. 14-day free trial. WebFetch-verified."
941 Consulting,CTO,retainer,2499,2499,GBP,per_month,2 days/month,https://941consulting.com/en/fractional-cto-pricing/,2026-08-20,"Foundation tier. Published as ""£2,499/month"" for 2 days/month. 3-month initial commitment then month-to-month. WebFetch-verified."
941 Consulting,CTO,retainer,4799,4799,GBP,per_month,1 day/week,https://941consulting.com/en/fractional-cto-pricing/,2026-08-20,"Momentum tier (MOST POPULAR). Published as ""£4,799/month"" for 1 day/week. WebFetch-verified."
941 Consulting,CTO,retainer,9599,9599,GBP,per_month,2 days/week,https://941consulting.com/en/fractional-cto-pricing/,2026-08-20,"Breakthrough tier. Published as ""£9,599/month"" for 2 days/week. WebFetch-verified."
941 Consulting,CTO,day_rate,1200,1200,GBP,per_day,,https://941consulting.com/en/fractional-cto-pricing/,2026-08-20,"Project-based day rate. Published as ""£1,200/day"" for fixed project work (due diligence architecture reviews team assessments). WebFetch-verified."
Full Stack Consulting,CTO,retainer,5000,,GBP,per_month,,https://fullstackconsulting.co.uk/services/fractional-cto,2026-08-20,"Published verbatim as ""starting at £5,000/month plus some form of uplift participation for incentive alignment."" Floor only. WebFetch-verified."
Wavect,CTO,retainer,2500,,EUR,per_month,4-8 hours/month,https://wavect.io/pricing/,2026-08-20,"CTO-on-Call tier. Published as ""€2,500/month minimum."" Async architecture review hiring panels tech decisions on demand. Weekly cancellation no notice required. Floor only. WebFetch-verified."
Wavect,CTO,retainer,12000,,EUR,per_month,1-2 days/week,https://wavect.io/pricing/,2026-08-20,"Embedded Fractional CTO tier. Published as ""€12,000/month minimum."" Includes two founders per engagement access to 15+ specialists. Weekly cancellation. Floor only. WebFetch-verified."
Rewired Consulting,CTO,retainer,6000,9000,USD,per_month,,https://www.rewired.co/pricing,2026-08-20,"Builder tier. Published as ""$6K-$9K/month."" Hands-on strategy and execution. Month-to-month. WebFetch-verified."
Rewired Consulting,CTO,retainer,10000,15000,USD,per_month,,https://www.rewired.co/pricing,2026-08-20,"AI Operations Retainer tier. Published as ""$10K-$15K/month."" Strategic AI and operating rhythm. Month-to-month. WebFetch-verified."
Rewired Consulting,CTO,retainer,10000,,USD,per_month,,https://www.rewired.co/pricing,2026-08-20,"CTO Partner tier. Published as ""From $10K/mo."" Embedded CTO leadership. 6-month minimum commitment. Floor only. WebFetch-verified."
