provider,role,offering_type,price_low,price_high,currency,unit,hours_included,source_url,capture_date,notes
2GO Advisory Group,multi,retainer,,,,,,https://www.2goadvisorygroup.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
31 Consulting,COO,retainer,,,,,,https://www.31consulting.net/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
4V Services,CTO,retainer,,,,,,https://www.4vservices.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
5FT View Consulting,multi,marketplace_match,397,3697,USD,per_month,1-12 hrs/month,https://5ftview.com/fractional-executive-services/,2026-08-20,"On-Demand Expert Subscription. Provider publishes a full rate table by number of experts and total hours per month: $397 (1 expert/1 hr) through $3,697 (3 experts/12 hrs). Band recorded from that table. A separate claim on the same page that ""A fractional CFO engagement typically costs between $5,000 and $15,000 per month"" is a third-party market estimate attributed to a Robert Half salary guide, not this provider price, and is excluded. Browser-verified."
621 Consulting,CMO,retainer,,,,,,https://www.621consulting.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
8 SIGNAL,CMO,retainer,,,,,,https://8signal.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
Aaron Wolff Consulting,COO,retainer,,,,,,https://www.aaronwolff.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
ABC Brand / Design,CMO,retainer,,,,,,https://www.abcbranddesign.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
Accretive Marketing,CMO,retainer,,,,,,https://accretive.marketing/,2026-08-20,"Stage-one screening found a price-shaped string ""$500"" on https://accretive.marketing/. NOT browser-verified, so no price is asserted. Pending stage-two verification for v1.1."
ACHIEVE CMO,multi,retainer,,,,,,https://achievecmo.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
Ackerman CFO Services LLC,CFO,retainer,,,,,,https://sackermanconsulting.com/,2026-08-20,"Stage-one screening found a price-shaped string ""$ 1,200"" on https://sackermanconsulting.com/women-founders/. NOT browser-verified, so no price is asserted. Pending stage-two verification for v1.1."
ACP Enlightening,COO,retainer,,,,,,https://acpenlightening.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
AdalithLabs,CTO,retainer,,,,,,https://www.adalithlabs.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
Adea Company Inc.,CFO,retainer,,,,,,https://adeacompany.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
Agave Financial Services,CFO,retainer,,,,,,https://www.agavefinancialservices.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
Agile Reasoning,CTO,retainer,,,,,,https://www.agilereasoning.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
ALFEE Consulting,CMO,retainer,,,,,,https://www.alfeeconsulting.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
Aliveness Ventures,CTO,retainer,,,,,,https://www.aliveness.ventures/,2026-08-20,"No published price. Page directs to a quote, call or custom pricing. Pricing exists but is not published."
Altarra Partners,CFO,retainer,,,,,,https://www.enteraltarra.com/,2026-08-20,"No published price. Page directs to a quote, call or custom pricing. Pricing exists but is not published."
Altus CXO,multi,retainer,,,,,,https://altuscxo.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
AMANDINE AMAN Consulting,CMO,retainer,,,,,,https://www.amandineaman.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
AMG Advisors Group,CFO,retainer,,,,,,https://www.amgadvisorsgroup.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
Amplēo,multi,retainer,,,,,,https://ampleo.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
APMJ Corporation,COO,retainer,,,,,,https://apmjcorp.lovable.app/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
Apparition Systems,CTO,retainer,,,,,,https://www.apparition.systems/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
"Ascend Technology Partners, Inc",CTO,retainer,,,,,,https://ascendcto.com/,2026-08-20,No published price found in stage-one screening of the homepage and its pricing-linked pages.
