name,raw,source_report
Boardman,"Boardman | Boutique, fractional technology leadership | UK | [boardman.com](https://www.boardman.com/) | **Yes, provider/service** citeturn0search0 | [Fractional CTO cost](https://www.boardman.com/fractional-cto-cost)",chatgpt-discovery
941 Consulting,"941 Consulting | Boutique technology consultancy | UK | [941consulting.com](https://941consulting.com/) | **Yes, provider/service** citeturn0search12 | [Fractional CTO pricing](https://941consulting.com/en/fractional-cto-pricing/)",chatgpt-discovery
Full Stack Consulting,"Full Stack Consulting | Boutique software and CTO advisory | UK | [fullstackconsulting.co.uk](https://fullstackconsulting.co.uk/) | **Yes, provider/service** citeturn1search4 | [Fractional CTO service and starting price](https://fullstackconsulting.co.uk/services/fractional-cto)",chatgpt-discovery
Wavect,"Wavect | Technology boutique | Europe | [wavect.io](https://wavect.io/) | **Yes, provider/service** citeturn10search3 | [Pricing](https://wavect.io/pricing/)",chatgpt-discovery
TrailMark Technology Partners,"TrailMark Technology Partners | Boutique, startups, mid-market and PE-backed companies | Greenville, South Carolina; serves U.S. nationwide | [trailmarktech.com](https://trailmarktech.com/) | **Yes, provider/service** citeturn17search1turn17search22 | [Fractional CTO cost](https://trailmarktech.",chatgpt-discovery
HyperNest Labs,"HyperNest Labs | Boutique, startup CTO and engineering | U.S. market | [hypernestlabs.com](https://hypernestlabs.com/) | **Yes, provider/service** citeturn17search12turn17search6 | [Fractional CTO cost](https://hypernestlabs.com/insights/cost-of-fractional-cto)",chatgpt-discovery
Prodevel,"Prodevel | Boutique development and CTO services | UK | [prodevel.co.uk](https://prodevel.co.uk/) | **Yes, provider/service** citeturn10search29 | [Fractional CTO UK](https://prodevel.co.uk/hire-fractional-cto-uk)",chatgpt-discovery
CTO on Demand / Nick Tong,"CTO on Demand / Nick Tong | Independent practitioner | UK | [ctoondemand.co.uk](https://www.ctoondemand.co.uk/) | **Yes, provider/service** citeturn10search21 | [Cost calculator and published rates](https://www.ctoondemand.co.uk/tools/fractional-cto-cost-calculator/)",chatgpt-discovery
Adriano Junior,"Adriano Junior | Independent practitioner | Not clearly stated | [adriano-junior.com](https://www.adriano-junior.com/) | **Yes, provider/service** citeturn10search12 | [Fractional CTO cost 2026](https://www.adriano-junior.com/fractional-cto-cost-2026)",chatgpt-discovery
Rewired Consulting,"Rewired Consulting | Independent-led boutique, AI/startup technology leadership | U.S.-registered / remote | [rewired.co](https://www.rewired.co/) | **Yes, provider/service** citeturn17search26turn17search8 | [Pricing](https://www.rewired.co/pricing)",chatgpt-discovery
AIWise,"AIWise | AI and fractional technology leadership boutique | Australia | [aiwise.com.au](https://aiwise.com.au/) | **Yes, provider/service** citeturn1search12 | [Fractional CTO service](https://aiwise.com.au/services/fractional-cto/)",chatgpt-discovery
Nacho,"Nacho | Talent marketplace | U.S. | [nachotalent.com](https://www.nachotalent.com/) | **Yes, marketplace talent** citeturn10search24 | [Fractional CTO talent and starting rates](https://www.nachotalent.com/fractional-cto/)",chatgpt-discovery
MentorCruise,"MentorCruise | Expert / mentor marketplace | Global | [mentorcruise.com](https://mentorcruise.com/) | **Yes, marketplace talent** citeturn10search20 | [Fractional CTO](https://mentorcruise.com/fractional-cto/)",chatgpt-discovery
Maestro,"Maestro | Fractional-expert network | Australia, New Zealand, Singapore, Hong Kong | [letsmaestro.com](https://www.letsmaestro.com/) | **Yes, provider/service** citeturn1search2 | [Fractional CTO](https://www.letsmaestro.com/fractional-cto)",chatgpt-discovery
Fractional C-Suite,Fractional C-Suite | Comparator / marketplace | Europe | [fractional-csuite.com](https://fractional-csuite.com/) | **Benchmark/guide only** citeturn1search1 | [CTO rates and comparison](https://fractional-csuite.com/cto/),chatgpt-discovery
Fractional Jobs,Fractional Jobs | Fractional hiring marketplace | Global | [fractionaljobs.io](https://www.fractionaljobs.io/) | **Platform fee only** citeturn10search27 | [CTO platform comparison and platform fee](https://www.fractionaljobs.io/blog/the-5-best-fractional-cto-platforms-and-services-2026),chatgpt-discovery
Fractionus,Fractionus | Fractional executive marketplace | U.S. plus international network | [fractionus.com](https://fractionus.com/) | **Platform fee only**; site publicly states its hiring-fee model citeturn2search0 | [Marketplace](https://fractionus.com/),chatgpt-discovery
ExecFractional,ExecFractional | Direct fractional-executive marketplace | U.S. / remote | [execfractional.com](https://execfractional.com/) | **Platform fee only**; public agency-markup positioning citeturn2search5 | [Marketplace](https://execfractional.com/),chatgpt-discovery
Find a Fractional,"Find a Fractional | Vetted fractional-executive marketplace | UK | [findafractional.co.uk](https://www.findafractional.co.uk/) | **Platform fee only**; hiring platform fees are disclosed, not executive rates citeturn16search6 | [Platform pricing/FAQ on homepage](https://www.findafractional.co.uk/",chatgpt-discovery
Go Fractional,Go Fractional | Fractional talent marketplace | U.S. / global | [gofractional.com](https://www.gofractional.com/) | No public provider-specific CTO pricing found | ,chatgpt-discovery
The Fractionals,The Fractionals | Fractional C-suite network | UK | [thefractionals.co.uk](https://thefractionals.co.uk/) | No public pricing found | ,chatgpt-discovery
