role,region,model,median,p25,p75,n,publish,bar_left,bar_right,bar_median
Fractional CMO,EU,Monthly retainer,"€3,000","€3,000","€4,000",5,30%,46.3,38.3,46.3
Fractional CTO,EU,Monthly retainer,"€4,450","€3,198","€5,675",4,32%,49.3,12.4,68.7
Fractional COO,EU,Monthly retainer,"€6,000","€6,000","€6,000",1,18%,92.6,7.4,92.6
Fractional CPO,EU,Monthly retainer,"€1,200","€1,200","€1,200",1,25%,18.5,81.5,18.5
Fractional CTO,UK,Monthly retainer,"£4,324","£3,162","£10,250",6,32%,24.4,20.9,33.4
Fractional CMO,UK,Monthly retainer,"£4,750","£3,125","£6,375",2,30%,24.1,50.8,36.7
Fractional CFO,UK,Monthly retainer,"£8,000","£8,000","£8,000",1,16%,61.7,38.3,61.7
Fractional CPO,UK,Monthly retainer,"£12,000","£12,000","£12,000",1,25%,92.6,7.4,92.6
Fractional COO,UK,Monthly retainer,"£2,750","£2,750","£2,750",1,18%,21.2,78.8,21.2
Fractional CRO,UK,Monthly retainer,"£2,500","£2,500","£2,500",1,20%,19.3,80.7,19.3
Fractional CMO,US,Monthly retainer,"$7,000","$4,750","$10,000",29,30%,35.9,24.4,52.9
Fractional CTO,US,Monthly retainer,"$7,000","$2,038","$11,562",16,32%,15.4,12.6,52.9
Fractional CFO,US,Monthly retainer,"$1,499","$1,025","$2,500",15,16%,7.7,81.1,11.3
Fractional CPO,US,Monthly retainer,"$7,000","$2,812","$12,249",12,25%,21.3,7.4,52.9
Fractional COO,US,Monthly retainer,"$5,000","$2,569","$9,950",12,18%,19.4,24.8,37.8
Fractional COO,EU,Day rate,"€1,800","€1,800","€1,800",1,18%,92.6,7.4,92.6
Fractional CPO,EU,Day rate,"€1,363","€1,363","€1,363",1,25%,70.1,29.9,70.1
Fractional CTO,UK,Day rate,"£1,000","£1,000","£1,200",5,32%,50.4,39.5,50.4
Fractional CPO,UK,Day rate,"£1,675","£1,512","£1,838",2,25%,76.2,7.4,84.4
Fractional CMO,UK,Day rate,£672,£586,£759,2,30%,29.5,61.8,33.9
Fractional CTO,US,Day rate,"$2,875","$2,812","$2,938",2,32%,88.7,7.4,90.6
Fractional CPO,US,Day rate,"$2,000","$2,000","$2,000",1,25%,63.0,37.0,63.0
Fractional COO,US,Day rate,"$2,000","$2,000","$2,000",1,18%,63.0,37.0,63.0
Fractional CPO,EU,Hourly,€83,€83,€83,1,25%,51.2,48.8,51.2
Fractional CTO,EU,Hourly,€150,€150,€150,1,32%,92.6,7.4,92.6
Fractional CTO,UK,Hourly,£97,£97,£97,1,32%,92.6,7.4,92.6
Fractional CTO,US,Hourly,$200,$114,$269,8,32%,26.3,37.8,46.3
Fractional CFO,US,Hourly,$250,$200,$374,6,16%,46.3,13.4,57.9
Fractional COO,US,Hourly,$250,$138,$387,4,18%,31.8,10.4,57.9
Fractional CMO,US,Hourly,$288,$250,$322,4,30%,57.9,25.5,66.6
Fractional CPO,US,Hourly,$400,$400,$400,1,25%,92.6,7.4,92.6
