provider,role,offering_type,price_low,price_high,currency,unit,hours_included,source_url,capture_date,notes
Summit Product Partners,CPO,project,30000,30000,USD,fixed_fee_per_project,,https://www.summitproductpartners.com/,2026-08-17,"90-Day Product Strategy Sprint. Published verbatim as ""$30,000 Fixed Fee"". Browser-verified."
Summit Product Partners,CPO,retainer,6000,,USD,per_month,,https://www.summitproductpartners.com/,2026-08-17,"Retained Services, published verbatim as ""Starting at $6K Per Month"". Floor only, no upper bound published. Described as ongoing hands-on fractional CPO or product leadership, recurring block of hours, hours not specified. Browser-verified."
Summit Product Partners,CPO,project,,,USD,,,https://www.summitproductpartners.com/,2026-08-17,"Custom / Project Based tier published as ""Custom Pricing"". No figure. Null is correct."
Go Fractional,CPO,marketplace_match,5000,,USD,per_month,5-10 hrs/week,https://www.gofractional.com/hire/fractional-cpo,2026-08-17,"Published verbatim as ""$5,000/month Starting at 5-10 hrs/week ongoing"". Corroborated by the page's own schema.org UnitPriceSpecification: price 5000, priceCurrency USD, unitText MONTH. Floor only. Server fetch returns HTTP 403; browser capture required and used."
Go Fractional,CPO,marketplace_match,,,USD,percent_of_first_year_salary,,https://www.gofractional.com/hire/fractional-cpo,2026-08-17,"Contract-to-hire conversion fee published as ""20% of first-year salary"". Not a rate; recorded as a fee term. No sourcing deposit; re-match at no additional sourcing cost."
Kompella Technologies,CTO,retainer,8000,10000,USD,per_month,1 day/week,https://kompella.io/thinking/fractional-cto-pricing-2026,2026-08-17,"Advisory tier. Headline published as ""Advisory $8K""; the provider's own tier table publishes ""$8,000-$10,000"" for standard and a higher band for healthtech/fintech/AI. Browser-verified."
Kompella Technologies,CTO,retainer,15000,18000,USD,per_month,2 days/week,https://kompella.io/thinking/fractional-cto-pricing-2026,2026-08-17,"Fractional tier. Headline ""Fractional $15K""; own tier table publishes ""$15,000-$18,000"" standard. Browser-verified."
Kompella Technologies,CTO,retainer,25000,30000,USD,per_month,3+ days/week,https://kompella.io/thinking/fractional-cto-pricing-2026,2026-08-17,"Embedded tier. Headline ""Embedded $25K""; own tier table publishes ""$25,000-$30,000"" standard. Browser-verified."
Continuum (uxcontinuum.com),CTO,retainer,3000,15000,USD,per_month,,https://uxcontinuum.com/fractional-cto-pricing,2026-08-17,"Partner tier, the provider's own rate, published verbatim as ""$3,000 to $15,000 a month"". Distinct from the market estimates on the same page, which are excluded. Browser-verified."
Continuum (uxcontinuum.com),CTO,retainer,500,1500,USD,per_month,,https://uxcontinuum.com/fractional-cto-pricing,2026-08-17,"Care tier, published as ""$500 to $1,500/mo"". Provider states this is monitoring and fixes only, explicitly NOT CTO-level leadership. Retained for completeness and flagged as out-of-band for role comparison."
Bolster,multi,marketplace_match,2500,,USD,upfront_plus_markup,,https://www.bolster.com/pricing,2026-08-17,"Fractional & Interim placement published verbatim as ""$2,500 upfront + 20% markup"". This is the platform's fee, not the executive's rate. Browser-verified."
Bolster,multi,marketplace_match,90000,,USD,per_search,,https://www.bolster.com/pricing,2026-08-17,"First Search, ""50% upfront + 50% on close""; additional searches $75,000 on a 12-month discounted rate. Full-time executive search, adjacent to fractional scope, retained as marketplace context. Browser-verified."
Bolster,multi,marketplace_match,2500,,USD,per_project,,https://www.bolster.com/pricing,2026-08-17,"On-Demand Talent published as ""$2,500+"" for executive projects. Floor only. Browser-verified."
Pilot,CFO,retainer,399,399,USD,per_hour,,https://pilot.com/pricing,2026-08-17,"CFO advisory published verbatim as ""Free for pre-seed founders. $399/hr for everyone else."" Pilot's $1,750 / $3,150 / $5,250 monthly tiers are present in the page DOM but attach to bookkeeping plans, not to the CFO service, so they are not recorded as a CFO rate. Browser-verified."
SaaS Fractional CPO (Sivan Kadosh),CPO,retainer,8000,8000,USD,per_month,20-25 hrs/month,https://saasfractionalcpo.com/,2026-08-17,"First-party row, included under the same rules as every other provider. facts.json F1 ($8,000/month) and F2 (20-25 hours/month). This is one provider's own published price, not a market range."
Paro,CFO,marketplace_match,,,,,,https://paro.ai/,2026-08-17,No published price. Marketplace matching finance talent; directs to consultation.
Preferred CFO,CFO,retainer,,,,,,https://www.preferredcfo.com/,2026-08-17,No published price.
CRI CFO Hub,CFO,retainer,,,,,,https://www.cricfohub.com/,2026-08-17,"No published price. cfohub.com 301-redirects to cricfohub.com."
Burkland,CFO,retainer,,,,,,https://www.burklandassociates.com/,2026-08-17,"No published price. A summarizing fetch reported an ""accounting from $495/month"" and a ""fractional CFO at $1,600/month"" figure; neither string appears in the browser-rendered page and no pricing page exists on the site. Reported figures rejected under the verbatim-capture rule. See dataset card, Verification failures."
NOW CFO,CFO,retainer,,,,,,https://nowcfo.com/,2026-08-17,"No published price. Site advertises ""Hourly Rates"" and ""No Hidden Fees"" as features without publishing a figure."
Escalon,CFO,retainer,,,,,,https://escalon.services/pricing/,2026-08-17,"No published CFO price. The pricing page publishes Financial Operations Starter at a monthly figure, but the Pro tier that carries controller and CFO services is published as ""Custom pricing"". Bookkeeping and HR tiers are out of scope. Not browser-verified; screened only."
Graphite Financial,CFO,retainer,,,,,,https://graphitefinancial.com/pricing/,2026-08-17,"No dedicated CFO price. Fractional CFO support is bundled inside a Finance tier rather than priced as a CFO service. Screened only, not browser-verified; no price row asserted."
Chief Outsiders,CMO,retainer,,,,,,https://www.chiefoutsiders.com/,2026-08-17,No published price. Offers fractional CMO and CSO/CRO; directs to consultation.
CMOx (CMO Exponential),CMO,retainer,,,,,,https://cmox.co/,2026-08-17,"No published price. A summarizing fetch reported ""Rates range between $3,000 and $15,000 per month""; the strings ""3,000"" and ""15,000"" do not occur anywhere in the browser-rendered page. Reported figure rejected. The only published figure is a full-time CMO salary benchmark, which is a market claim, not this provider's price. See dataset card, Verification failures."
Kalungi,CMO,retainer,,,,,,https://www.kalungi.com/,2026-08-17,"No published price. /pricing returns HTTP 404."
Hawke Media,CMO,retainer,,,,,,https://www.hawkemedia.com/,2026-08-17,No published price.
Refine Labs,CMO,project,,,,,,https://www.refinelabs.com/,2026-08-17,"Screened only. A summarizing fetch reported a Revenue Performance Assessment ""Starting at $35,000, 6 weeks""; not browser-verified in this run, so no price row is asserted. Pending verification for v1.1."
Growth Molecules,CMO,retainer,,,,,,https://growthmolecules.com/,2026-08-17,No published price.
TechCXO,CPO,retainer,,,,,,https://www.techcxo.com/,2026-08-17,"No published price. Multi-function fractional executive bench including Chief Product Officer. Third parties estimate their range, but no first-party figure is published; third-party estimates are excluded by design."
Product People,CPO,retainer,,,,,,https://www.getproductpeople.com/,2026-08-17,No published price. Interim embedded product management; directs to a discovery call.
Prodify,CPO,retainer,,,,,,https://www.prodify.group/,2026-08-17,"No published price. Site states ""Request a call to see our pricing and packages"", confirming pricing exists but is not published."
SVPG,CPO,project,,,,,,https://www.svpg.com/,2026-08-17,"No published price on the site. Workshop registration is handled off-site via Eventbrite, so a price may exist at the registration step but is not published on the provider's own pages."
Productside,CPO,project,,,,,,https://productside.com/,2026-08-17,"No published price for courses, training or advisory on the main site."
Toptal,CPO,marketplace_match,,,,,,https://www.toptal.com/product-managers,2026-08-17,"No published rate for product managers. Publishes engagement terms only: a no-risk trial period of up to two weeks, pay only if satisfied. A Glassdoor salary average is cited as third-party context, not as Toptal's price."
Fractionus,multi,marketplace_match,0,0,USD,placement_fee,,https://www.fractionus.com/,2026-08-17,"Publishes a zero-fee placement model verbatim as ""Zero Fees: 100% free search & placement"". The platform fee is a published figure of zero. Executive rates themselves are not published. Screened only, not browser-verified."
Catalant,multi,marketplace_match,,,,,,https://www.catalant.com/,2026-08-17,No published price.
MBO Partners,multi,marketplace_match,,,,,,https://www.mbopartners.com/,2026-08-17,"No published rate or fee percentage. An ""average project value delivered"" metric is published, which is a company statistic, not a price."
Business Talent Group,multi,marketplace_match,,,,,,https://businesstalentgroup.com/,2026-08-17,No published price.
Bolster,multi,marketplace_match,,,,,,https://www.bolster.com/,2026-08-17,"Homepage claims ""transparent, flat-fee pricing"" without figures; the figures are on /pricing and are recorded in the rows above."
MentorCruise,CTO,marketplace_match,,,,,,https://mentorcruise.com/fractional-cto/,2026-08-17,"Screened only. Per-mentor monthly rates are published on the page but were not browser-verified in this run, and they are individual mentor rates rather than fractional CTO engagement rates. No price row asserted. Pending verification for v1.1."
Fractional CTO Experts,CTO,marketplace_match,,,,,,https://fractionalctoexperts.com/pricing,2026-08-17,"Screened only, not browser-verified. Published tiers are employer search subscriptions for a directory product, not fractional CTO service rates, so they are out of scope for a rates index even once verified."
Kamyar Shah,COO,retainer,,,,,,https://kamyarshah.com/fractional-coo-rates-cost-breakdown/,2026-08-17,"Screened only. A summarizing fetch reported own-rate figures by days per week, but the page mixes own rates with market commentary and was not browser-verified in this run. No price row asserted. Pending verification for v1.1."
The CFO Centre,CFO,retainer,,,,,,https://www.thecfocentre.com/,2026-08-17,"Not reachable. DNS resolution failed (ENOTFOUND) at capture. Recorded as unreachable, which is distinct from having no published price."
