host,provider,role,region,model,currency,unit,price_low,price_high,value_basis,value_published,rate_hourly_usd,normalization_basis,hours_per_month_used,hours_source,confidence_tier,strict_pass,dual_agreement,verify_verdict,verify_reasons,scope_verdict,country,country_source,evidence_quote,evidence_page,source_url,capture_date
getcto.fi,Fractional CTO Services - Senior Technology Leadership | GetCTO Finland,(none),EU,Day,EUR,per_day,1500,3000,midpoint,2250,326.67,"midpoint(1500,3000)=2250 EUR | per_day / 8h (declared 8-hour day) | FX EUR 1.1615 USD @2026-09-03 | = 326.67 USD/h",,,low,false,disagree:3offers,REJECT,not_own_price,include,FI,cctld,"€1,500-€3,000 per day",https://getcto.fi/,https://getcto.fi/,2026-09-03
f.institute,F.INSTITUTE - Fractional CFO Services for Tech Companies,(none),EU,Monthly,EUR,per_month,599,,published,599,21.41,published(599) EUR | per_month / 32.5h (default: no hours published) | FX EUR 1.1615 USD @2026-09-03 | = 21.41 USD/h,32.5,default,high,true,agree,PASS,,include,,,From €599 / month,https://f.institute/pricing,https://f.institute/,2026-09-02
f.institute,F.INSTITUTE - Fractional CFO Services for Tech Companies,(none),EU,Monthly,EUR,per_month,1999,,published,1999,71.44,published(1999) EUR | per_month / 32.5h (default: no hours published) | FX EUR 1.1615 USD @2026-09-03 | = 71.44 USD/h,32.5,default,high,true,agree,PASS,,include,,,"From €1,999 / month",https://f.institute/pricing,https://f.institute/,2026-09-02
f.institute,F.INSTITUTE - Fractional CFO Services for Tech Companies,(none),EU,Monthly,EUR,per_month,2250,,published,2250,80.41,published(2250) EUR | per_month / 32.5h (default: no hours published) | FX EUR 1.1615 USD @2026-09-03 | = 80.41 USD/h,32.5,default,high,true,agree,PASS,,include,,,"From €2,250 / month",https://f.institute/pricing,https://f.institute/,2026-09-02
f.institute,F.INSTITUTE - Fractional CFO Services for Tech Companies,(none),EU,Monthly,EUR,per_month,4500,,published,4500,160.82,published(4500) EUR | per_month / 32.5h (default: no hours published) | FX EUR 1.1615 USD @2026-09-03 | = 160.82 USD/h,32.5,default,high,true,agree,PASS,,include,,,"From €4,500 / month",https://f.institute/pricing,https://f.institute/,2026-09-02
f.institute,F.INSTITUTE - Fractional CFO Services for Tech Companies,(none),EU,Monthly,EUR,per_month,6750,,published,6750,241.23,published(6750) EUR | per_month / 32.5h (default: no hours published) | FX EUR 1.1615 USD @2026-09-03 | = 241.23 USD/h,32.5,default,high,true,agree,PASS,,include,,,"From €6,750 / month",https://f.institute/pricing,https://f.institute/,2026-09-02
generateleads.ie,We grow brands that build | Generate Leads,(none),EU,Monthly,EUR,per_month,2500,,published,2500,89.35,published(2500) EUR | per_month / 32.5h (default: no hours published) | FX EUR 1.1615 USD @2026-09-03 | = 89.35 USD/h,32.5,default,low,false,disagree:4offers,REJECT,not_own_price,include,IE,cctld,"Silver €2,500 + VAT /mo",https://generateleads.ie/services,https://generateleads.ie/,2026-09-02
generateleads.ie,We grow brands that build | Generate Leads,(none),EU,Monthly,EUR,per_month,3500,,published,3500,125.08,published(3500) EUR | per_month / 32.5h (default: no hours published) | FX EUR 1.1615 USD @2026-09-03 | = 125.08 USD/h,32.5,default,low,false,disagree:4offers,REJECT,not_own_price,include,IE,cctld,"Gold €3,500 + VAT /mo",https://generateleads.ie/services,https://generateleads.ie/,2026-09-02
generateleads.ie,We grow brands that build | Generate Leads,(none),EU,Monthly,EUR,per_month,5000,,published,5000,178.69,published(5000) EUR | per_month / 32.5h (default: no hours published) | FX EUR 1.1615 USD @2026-09-03 | = 178.69 USD/h,32.5,default,low,false,disagree:4offers,REJECT,not_own_price,include,IE,cctld,"Platinum €5,000 + VAT /mo",https://generateleads.ie/services,https://generateleads.ie/,2026-09-02
letsrocc.com,Marketing Consultant for CEOs and CFOs | letsrocc,(none),EU,Monthly,EUR,per_month,15000,20000,midpoint,17500,625.42,"midpoint(15000,20000)=17500 EUR | per_month / 32.5h (default: no hours published) | FX EUR 1.1615 USD @2026-09-03 | = 625.42 USD/h",32.5,default,low,false,disagree:1offers,REJECT,not_own_price,include,,,"Germany, Austria, Switzerland and Ireland: €15k to €20k monthly.",https://letsrocc.com/,https://letsrocc.com/,2026-09-03
