provider,role,offering_type,price_low,price_high,currency,unit,hours_included,source_url,capture_date,notes
The Edwards Practice,COO,retainer,4000,,GBP,per_month,1-2 days/week,https://www.theedwardspractice.com/resources/fractional-coo-cost-uk,2026-08-20,"Fractional COO Retainer. Published verbatim as ""From £4,000/month, 1–2 days a week, 3-month minimum"". Provider states most engagements settle around £5,000–£6,000/month. Floor only. Browser-verified."
The Edwards Practice,COO,retainer,1500,,GBP,per_month,monthly operating review,https://www.theedwardspractice.com/resources/fractional-coo-cost-uk,2026-08-20,"Strategic Adviser Retainer. Published verbatim as ""From £1,500/month, monthly operating review, 6-month minimum"". Floor only. Not full COO-level engagement; lighter advisory tier. Browser-verified."
The Edwards Practice,COO,project,5000,,GBP,fixed_fee_per_project,,https://www.theedwardspractice.com/resources/fractional-coo-cost-uk,2026-08-20,"Ops Audit. Published verbatim as ""From £5,000, one-off, two-week fixed-fee diagnostic"". Floor only. Browser-verified."
COO Fractional (Niklas Lindahl),COO,retainer,6000,6000,EUR,per_month,1 day/week,https://coofractional.com/cost,2026-08-20,"Published verbatim as ""€6,000 / mo"" for 1 day/week. ""Lightest engagement. Cadence + reporting + decision support."" 3-month minimum. Browser-verified."
COO Fractional (Niklas Lindahl),COO,retainer,10500,10500,EUR,per_month,2 days/week,https://coofractional.com/cost,2026-08-20,"Published verbatim as ""€10,500 / mo"" for 2 days/week. ""Standard. Build process, run ops cadence, own KPIs."" Browser-verified."
COO Fractional (Niklas Lindahl),COO,retainer,15000,15000,EUR,per_month,3 days/week,https://coofractional.com/cost,2026-08-20,"Published verbatim as ""€15,000 / mo"" for 3 days/week. ""Heavy lift. Full operating model build. Most clients start here for 90 days."" Browser-verified."
COO Fractional (Niklas Lindahl),COO,day_rate,1800,1800,EUR,per_day,min 4 days/month,https://coofractional.com/cost,2026-08-20,"Published verbatim as ""Day-rate option: €1,800 / day, minimum 4 days / month. For project work that does not need ongoing cadence."" Browser-verified."
The Boutique COO,COO,retainer,100,,USD,per_hour,10 hrs/month to 20 hrs/week,https://www.theboutiquecoo.com/fractional-coo,2026-08-20,"Published verbatim as ""Fractional COO support starts at $100/hour, and we build a scope that fits your stage and budget."" Floor only. FAQ states typical range is 10 hours/month to 20 hours/week. Browser-verified."
Leadership Services,COO,retainer,2500,6000,GBP,per_month,1-4 days/month,https://leadership-services.co.uk/pricing/,2026-08-20,"Tier 2: Fractional Director. COO-specific row in the comparison table published as ""£2,500–£6,000/month"". Tier range is ""£1,795–£6,000"" across all roles. No minimum term; typically 6-24 months. Multi-role firm. Browser-verified."
Kamyar Shah,COO,retainer,,,,,,https://kamyarshah.com/fractional-coo-rates-cost-breakdown/,2026-08-20,"No published own price. Page discusses market rate ranges ($12,000-$15,000/month for one day a week; $200-$500/hour) but these are framed as general market commentary, not the provider's own rates. States ""Pricing follows a diagnostic rather than a rate card."" Screened only."
Simon Wakeman,COO,retainer,,,,,,https://www.simonwakeman.com/,2026-08-20,No published price. Describes fractional COO work as 1-3 days per week but does not disclose rates.
JW Consulting (Fraction COO),COO,retainer,,,,,,https://fractioncoo.co.uk/,2026-08-20,"No published price. States ""Engagements are usually structured as a fixed monthly retainer"" and ""costs 40 to 60% less than a full-time Operations Director"" but reserves pricing for the discovery call."
Intero Solutions,COO,retainer,,,,,,https://interosolutions.ca/,2026-08-20,No published price. Offers fractional COO service but directs to contact for pricing.
We Curate,COO,retainer,,,,,,https://we-curate.com/,2026-08-20,"No published price. Offers ""Fractional COO for Beauty Brands"" but does not disclose rates."
ECA Partners,COO,marketplace_match,,,,,,https://www.eca-partners.com/,2026-08-20,No published price. Executive search and interim executive firm. No rates or platform fees disclosed.
Rae Business Management,COO,retainer,,,,,,https://www.raebusinessmanagement.com/blog/fractional-coo-rates,2026-08-20,"No published own price. Blog discusses market ranges ($4,000-$15,000/month) but states ""Our engagements are monthly retainers in the range above, scoped to the size of your team."" No specific own figure published."
Ken Yarmosh,COO,retainer,,,,,,https://kenyarmosh.com/fractional-coo/,2026-08-20,"No published own price. Blog references market ranges ($10,000-$20,000/month). States ""I do offer three different ways to help but they are all based around a monthly rate"" without disclosing the rate."
ScaleUpExec,COO,retainer,,,,,,https://scaleupexec.com/fractional-coo-rates/,2026-08-20,"No published own price. Article discusses market ranges ($150-$500/hour; $5,000-$15,000/month) as benchmark/guide content. Directs to ""Book a Free 30-Minute Strategy Call"" for actual pricing."
Connectd,COO,marketplace_match,,,,,,https://www.connectd.com/,2026-08-20,No published price or platform fee. Startup fractional-talent platform; directs to contact.
Altus CXO,COO,retainer,,,,,,https://altuscxo.com/,2026-08-20,No published price. Fractional executive services firm.
Cerius Executives,COO,marketplace_match,,,,,,https://ceriusexecutives.com/,2026-08-20,"No published price. Interim and fractional executive firm. States ""No Up-Front Investments"" but does not disclose fees."
Exec Capital,COO,marketplace_match,,,,,,https://www.execcapital.co.uk/fractional-coo,2026-08-20,"No published own price. Provides market benchmarks (£800-£2,000/day by segment) but these are industry estimates, not Exec Capital's own fees."
