provider,role,offering_type,price_low,price_high,currency,unit,hours_included,source_url,capture_date,notes
The Geisheker Group,CMO,retainer,1000,,USD,per_month,1-2 hours/week,https://www.geisheker.com/fractional-cmo-pricing/,2026-08-20,"Marketing Strategy Advisor tier. Published verbatim as ""Starting at $1,000/month"". Floor only. Browser-verified."
The Geisheker Group,CMO,retainer,10000,,USD,per_month,,https://www.geisheker.com/fractional-cmo-pricing/,2026-08-20,"Fractional CMO Leadership tier. Published verbatim as ""Starting at $10,000/month"". Marked ""Most Popular"". Floor only. Browser-verified."
The Geisheker Group,CMO,project,4000,4000,USD,fixed_fee_per_project,,https://www.geisheker.com/fractional-cmo-pricing/,2026-08-20,"Marketing Growth Audit. Published verbatim as ""One-Time Fee: $4,000"". Browser-verified."
Simon Fractional,CMO,retainer,5000,5000,USD,per_month,10 hours/week,https://simonfractional.com/pricing/,2026-08-20,"Engaged Leadership tier. Published verbatim as ""$5,000/ month (3 months minimum)"" with ""10 hours of dedicated support each week"". Browser-verified."
Simon Fractional,CMO,retainer,7500,7500,USD,per_month,15 hours/week,https://simonfractional.com/pricing/,2026-08-20,"Executive Leadership tier. Published verbatim as ""$7,500/ month (3 months minimum)"" with ""15 hours of dedicated support each week"". Browser-verified."
Aaron Zakowski,CMO,retainer,2500,,USD,per_month,,https://aaronzakowski.com/pricing/,2026-08-20,"Growth Advisory Package. Published verbatim as ""Starting at $2500/month"". Weekly strategy calls. 3-month minimum commitment. Floor only. Browser-verified."
Aaron Zakowski,CMO,retainer,7000,,USD,per_month,~25 hours/month,https://aaronzakowski.com/pricing/,2026-08-20,"Fractional Chief Marketing Officer. Published verbatim as ""Starting at $7000/month"" with ""About 25 hours per month inside your business"". Floor only. Browser-verified."
Shanjay,CMO,day_rate,896,1100,GBP,per_day,,https://www.shanjay.com/rates,2026-08-20,"Fractional CMO on retainer day rate. Published verbatim as ""1) Fractional CMO on retainer: £896-1100 per day (£128-£157 per hour)"". Browser-verified."
Shanjay,CMO,day_rate,1250,1500,GBP,per_day,,https://www.shanjay.com/rates,2026-08-20,"Consultancy/Project work day rate. Published verbatim as ""2) Consultancy/ Project work: £1250-1500 per day (£175-200 per hour)"". Browser-verified."
Shanjay,CMO,retainer,1000,,GBP,per_month,,https://www.shanjay.com/rates,2026-08-20,"Monthly retainer floor. Published verbatim as ""Retainers start at £1k per month for those who simply want ongoing check in and support on an ad-hoc"" basis. Floor only. Browser-verified."
FlexExec,CMO,retainer,8000,22000,USD,per_month,10-20 hours/week,https://flexexec.io/fractional-cmo/,2026-08-20,"Monthly Retainer. Published verbatim as ""$8,000 - $22,000/month"" with ""10-20 hours/week typical"". Page caveat: ""Actual pricing depends on scope, hours, and experience level."" Browser-verified."
FlexExec,CMO,retainer,275,500,USD,per_hour,,https://flexexec.io/fractional-cmo/,2026-08-20,"Hourly Rate. Published verbatim as ""$275 - $500/hr"" described as ""For project-based work"". Browser-verified."
Whtnxt,CMO,retainer,6500,6500,USD,per_month,,https://whtnxt.io/pricing/,2026-08-20,"Fractional CMO tier. Published verbatim as ""$6,500 /month"". Includes weekly strategy sessions and marketing team oversight. Browser-verified."
Whtnxt,CMO,retainer,275,275,USD,per_hour,,https://whtnxt.io/pricing/,2026-08-20,"Marketing Consulting tier. Published verbatim as ""$275 /hour"". On-demand expertise. Browser-verified."
Whtnxt,CMO,project,1000,1000,USD,fixed_fee_per_project,,https://whtnxt.io/pricing/,2026-08-20,"Marketing Discovery. Published verbatim as ""$1,000 one-time"". 2-hour strategy workshop with 90-day roadmap. Browser-verified."
DNA Leads,CMO,retainer,3500,,USD,per_month,,https://dnaleads.com/pricing-plans/,2026-08-20,"Core tier. Published verbatim as ""Starting At* $3,500* per month"". Min 3 month commitment. Includes fractional CMO leadership. Floor only. Browser-verified."
DNA Leads,CMO,retainer,5500,,USD,per_month,,https://dnaleads.com/pricing-plans/,2026-08-20,"Plus tier. Published verbatim as ""Starting At* $5,500* per month"". Min 6 month commitment. Everything in Core plus execution. Floor only. Browser-verified."
DNA Leads,CMO,retainer,8500,,USD,per_month,,https://dnaleads.com/pricing-plans/,2026-08-20,"Complete tier. Published verbatim as ""Starting At* $8,500* per month"". Min 6 month commitment. Full marketing team leadership. Floor only. Browser-verified."
Mateerz,CMO,retainer,4000,,EUR,per_month,1-3 days/week,https://mateerz.com/en/pricing/,2026-08-20,"Fractional CMO or CSO. Published verbatim as ""From €4,000 / month"" with ""One to three days a week"". Three-month minimum with first month no commitment. Rates reviewed 15 July 2026. Browser-verified."
Mateerz,CMO,retainer,15000,25000,EUR,per_month,,https://mateerz.com/en/pricing/,2026-08-20,"Interim Management. Published verbatim as ""From €15,000 / month"" and ""Up to €25,000 per month full-time, all in"". Browser-verified."
Mayple,CMO,retainer,2850,2850,USD,per_month,,https://www.mayple.com/pricing/cmo-as-a-service,2026-08-20,"Mentor package. Published verbatim as ""$2,850/mo"". Fractional CMO creates strategy and mentors. Browser-verified."
Mayple,CMO,retainer,5350,5350,USD,per_month,,https://www.mayple.com/pricing/cmo-as-a-service,2026-08-20,"Manager package (Recommended). Published verbatim as ""$5,350/mo"". Fractional CMO creates strategy and manages marketing team. Browser-verified."
Contineofy,CMO,retainer,12000,,USD,per_month,,https://contineofy.com/pricing,2026-08-20,"Fractional Chief Marketing Officer. Published verbatim as ""Starting At $12,000/mo"". Runs entire lifecycle marketing strategy. Floor only. Browser-verified."
Dirty Mktg,CMO,retainer,2000,2000,USD,per_month,,https://www.dirtymktg.com/pricing,2026-08-20,"Starter Package. Published verbatim as ""$2,000 Every month"". Browser-verified."
Dirty Mktg,CMO,retainer,3500,3500,USD,per_month,,https://www.dirtymktg.com/pricing,2026-08-20,"Standard Package. Published verbatim as ""$3,500 Every month"". Browser-verified."
Dirty Mktg,CMO,retainer,6500,6500,USD,per_month,,https://www.dirtymktg.com/pricing,2026-08-20,"Elite Package. Published verbatim as ""$6,500 Every month"". Browser-verified."
Growth Ahoy,CMO,retainer,2700,,EUR,per_month,1 day/week,https://www.growthahoy.com/pricing,2026-08-20,"Fractional CMO. Published verbatim as ""From €2,700/month (+VAT), One day/week"". -10% discount with longer fixed-term contract. Floor only. Browser-verified."
Brand Botany,CMO,project,1500,1500,USD,fixed_fee_per_project,,https://www.brandbotany.com/pricing,2026-08-20,"Strategic Growth Intensive. Published verbatim as ""FEE: $1,500 one time"". Three working sessions. Fractional/Interim CMO tier published as ""Custom / month"" with no figure. Browser-verified."
Porter Wills,CMO,day_rate,1000,1000,GBP,per_day,,https://porterwills.co/thoughts/fractional-cmo-cost-uk-the-complete-pricing-guide-for-2025,2026-08-20,"Strategic Day Rate. Published verbatim as ""£1,000"". Described as ""A focused, intensive day to tackle a pressing challenge"". Browser-verified."
Porter Wills,CMO,project,4000,5000,GBP,per_week,,https://porterwills.co/thoughts/fractional-cmo-cost-uk-the-complete-pricing-guide-for-2025,2026-08-20,"Weekly Sprints. Published verbatim as ""£4,000 to £5,000"". Five-day engagement for key strategic deliverable. Browser-verified."
Porter Wills,CMO,retainer,3500,,GBP,per_month,1-2 days/week,https://porterwills.co/thoughts/fractional-cmo-cost-uk-the-complete-pricing-guide-for-2025,2026-08-20,"Monthly Retainers. Published verbatim as ""Starting from £3,500"". 1-2 days per week. Most popular option. Floor only. Browser-verified."
Jolly Marketer,CMO,retainer,,,,,,https://www.jollymarketer.com/en/pricing/,2026-08-20,"No published price. All service packages on pricing page show ""Request Pricing"" with no figures. Separate blog article discusses market rates but these are not Jolly Marketer's own rates. Browser-verified."
CMO Zen,CMO,retainer,,,,,,https://cmozen.com/how-much-fractional-cmo-cost/,2026-08-20,"No published price. Site discusses market rates for fractional CMOs ($5,000-$10,000/mo) but does not state CMO Zen's own rate. No pricing page exists. Browser-verified."
Brand Botany,CMO,retainer,,,,,,https://www.brandbotany.com/pricing,2026-08-20,"No published price for Fractional/Interim CMO tier. Published as ""FEE: Custom / month"". The $1,500 one-time intensive is recorded separately. Browser-verified."
Chief Outsiders,CMO,retainer,,,,,,https://www.chiefoutsiders.com/,2026-08-20,No published price. Offers fractional CMO and CSO/CRO; directs to consultation. Carried forward from v1.0 verification.
CMOx,CMO,retainer,,,,,,https://cmox.co/,2026-08-20,"No published price. v1.0 verification found ""3,000"" and ""15,000"" do not occur in browser-rendered page. Only published figure is a full-time CMO salary benchmark. Carried forward from v1.0."
Kalungi,CMO,retainer,,,,,,https://www.kalungi.com/,2026-08-20,"No published price. /pricing returned HTTP 404 at v1.0 capture. Carried forward from v1.0."
Hawke Media,CMO,retainer,,,,,,https://www.hawkemedia.com/,2026-08-20,No published price. Carried forward from v1.0.
Refine Labs,CMO,project,,,,,,https://www.refinelabs.com/,2026-08-20,"No published price. v1.0 screened a Revenue Performance Assessment ""Starting at $35,000, 6 weeks"" but was not browser-verified. No price row asserted."
Growth Molecules,CMO,retainer,,,,,,https://growthmolecules.com/,2026-08-20,No published price. Carried forward from v1.0.
The Marketing Centre,CMO,retainer,,,,,,https://www.themarketingcentre.com/,2026-08-20,No published price. UK fractional CMO network with 100+ CMOs. Directs to discovery call. Browser-verified.
NoGood,CMO,retainer,,,,,,https://nogood.io/,2026-08-20,No published fractional CMO pricing. Growth agency with fractional marketing leadership.
Orr Consulting,CMO,retainer,,,,,,https://www.orr-consulting.com/,2026-08-20,No published price. Boutique marketing leadership.
KNB Communications,CMO,retainer,,,,,,https://www.knbcomm.com/,2026-08-20,No published price. Communications and marketing for health and life sciences.
The Source Approach,CMO,retainer,,,,,,https://www.sourceapproach.com/,2026-08-20,No published price. Ecommerce and Amazon marketing niche.
Fractional Law Firm CMO,CMO,retainer,,,,,,https://www.fractionallawfirmcmo.com/,2026-08-20,No published price. Legal-industry fractional CMO niche.
Marketri,CMO,retainer,,,,,,https://marketri.com/,2026-08-20,No published price. B2B and PE-backed marketing leadership.
